year,metric,value,source
2015,Number of sub-centres (India),"153,655",https://www.nextias.com/ca/editorial-analysis/10-09-2024/public-health-challenges-and-policy-gaps-in-india?utm_source=chatgpt.com
2015,Number of PHCs (India),"25,308",https://www.nextias.com/ca/editorial-analysis/10-09-2024/public-health-challenges-and-policy-gaps-in-india?utm_source=chatgpt.com
2015,Number of CHCs (India),"5,396",https://www.nextias.com/ca/editorial-analysis/10-09-2024/public-health-challenges-and-policy-gaps-in-india?utm_source=chatgpt.com
2018,PMJAY coverage (people),"50 crore (500,000,000)",https://www.nextias.com/ca/editorial-analysis/10-09-2024/public-health-challenges-and-policy-gaps-in-india?utm_source=chatgpt.com
(target),Planned Health & Wellness Centres (HWCs),"1,50,000 (150,000)",https://www.nextias.com/ca/editorial-analysis/10-09-2024/public-health-challenges-and-policy-gaps-in-india?utm_source=chatgpt.com
2016-2022,Healthcare sector CAGR (2016–22),22%,https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2016,Healthcare market size (USD),110 billion (2016),https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2022,Healthcare market size (USD),372 billion (2022),https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2021-22,Public health expenditure (% of GDP),2.1%,https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2020-21,Public health expenditure (% of GDP),1.8%,https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2019-20,Public health expenditure (% of GDP),1.3%,https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
FY21,Gross direct premium income - health insurance (INR),"Rs. 58,572.46 crore",https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2020,Medical tourism market (USD),2.89 billion (2020),https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2026 (expected),Medical tourism market (USD) - projected,13.42 billion (by 2026),https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2025 (expected),Telemedicine market (USD) - projected,5.5 billion (by 2025),https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
(as of 2022 article),Reported shortage of doctors (study presented in Parliament),"600,000 doctors (shortfall)",https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2021,Employment in healthcare sector (India),4.7 million people (2021),https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2017-22,Jobs generated in healthcare sector (2017-22),2.7 million additional jobs,https://www.drishtiias.com/daily-updates/daily-news-analysis/healthcare-sector-in-india?utm_source=chatgpt.com
2016,Health Affairs special issue - 'Quality of Health Care in India' (qualitative),see article for qualitative findings (no single numeric),https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0676
